KEY,English,Spanish

GLYPH_TEST, "∂ ∏ ∑ ≥ μ π"
Q_LOT_FIRE_TIMER,"[i]Your skin glows, growing hotter and glistening with red sparks.[/i]\n\nEach hero tests ∑. Each hero who fails suffers 2 ≥."
Q_LOT_FIRE_TIMER_END,"[i]The heat of your skin subsides.[/i]"
Q_LOT_PORTAL_DOORS_SETUP,"[i]To your right, a giant set of dark onyx doors stands ajar. The doorframe around the openings pulses with an unsettling purple glow. Beyond a veil of shadow and crimson fog, you see a world consumed in fire and storm. Dark figures approach from the shadows…[/i]\n\nPlace 2 objective tokens as shown. These are onyx doors.\n\nA hero adjacent to an onyx door can perform a ""Close Door"" action to close the onyx door."
Q_LOT_PORTAL_DOORS,"[i]A good push should be all that is needed to seal this door.[/i]\n\nYou can close this side of the portal with a ""Close Door"" action."
Q_LOT_PORTAL_CLOSE,"[i]The magic sustaining the portal crackles angrily as you shove one of the doors closed.[/i]\n\nDiscard this token."
Q_LOT_PORTAL_ENTER,"[i]The shadows peal back, revealing the demonic followers of Tekaris.[/i]\n\nPlace {0} {1}, {2}ignoring group limits."
Q_LOT_PORTAL_MOREENEMIES, "[i]Shadow congeals into mortal flesh as more of Tekaris' minions step from beyond the threshold.[/i]\n\nPlace {0} {1}, {2}ignoring group limits."
Q_LOT_PORTAL_MULTI,"1 per indicated space, "
Q_LOT_PORTAL_SEALED, "[i]The stone framework surrounding this portal ceases to pulsate and returns to a drab gray color. Tekaris' followers cannot support him through this portal any more."
Q_LOT_SEARCH_1,"[i]This bed is made—the only tidy item in the room.[/i]"
Q_LOT_SEARCH_2,"[i]A barrel has washed up on shore.[/i]"
Q_LOT_SEARCH_3,"[i]A large pile of ash sits in the center of a blood-red circle.[/i]"
Q_LOT_SEARCH_4,"[i]A pile of torn and crumpled scrolls.[/i]"
Q_LOT_SEARCH_5,"[i]An assortment of golden statues.[/i]"
Q_LOT_SEARCH_6,"[i]A statue of a priest holds a large stone bowl high above its head.[/i]"
Q_LOT_LIGHTENING,"[i]The storm grows more violent! A barrage of lightning tears through the courtyard.[/i]\n\nEach hero on tile 3A suffers 2 ≥."
Q_LOT_LOSE,"[i]Tekaris, the new lord of Barathoal, bursts through the top of the castle as you flee. Sections of stone larger than a horse rain down around you, but you are fortunate enough to not be hit. The demon laughs as you hurry away, and it is not until you are safe upon a far hill that you turn around.\n\nThe castle is gone, cloaked in a swirling mass of cloud, rain, and lightning. A low moan carries through the air, even from this distance. Fortunately for you, the chaos appears to be contained within the borders of that land, however. As long as that is so, and remains so, you hope you will never need to encounter the demon Tekaris again.[/i]"

//Quest: Prison Break
Q_PB_MAP,"[u]Prison Break[/u]\n\n[i]Though this dungeon is filled with the innocent, the throng of foul beasts that guard it have dissuaded any from attempting a prison break.\n\nUntil now."
Q_PB_LOSE,"[i]Wounded, you make a hasty retreat toward the nearest passage. Barely able to make it out, you hear the cries of the prisoners you failed to save echoing behind you. "
Q_PB_INFO,"[i]Rumor had it that the natural cave systems in the area near the prison could provide an access point that would bypass the exterior defenses. A crude map led you to the place deep within the caverns. After digging your way through a short span of solid rock, you enter into a waste disposal passage which you follow upward."
Q_PB_OBJECTIVE_1,"Locate and free prisoners."
Q_PB_OBJECTIVE_2,"Escort the prisoners to a secret passage."
Q_PB_OBJECTIVE_3,"Escape through a secret passage."
Q_PB_ALL_TILES,"Set aside tiles 5, 8, 9, 11, 14, 15, 16, 20, 21, 23, 25, and 26."
Q_PB_INTRO,"[i]You enter the bottom of the fortress, sneaking upward toward the prisoners."
Q_PB_INTRO_TILES,"Place 20B, 16B, and 4 doors."
Q_PB_WEB_TILES,"Place 15B, 1 extender, and 1 end cap."
Q_PB_SHRINE_TILES,"Place 8B and 1 end cap."
Q_PB_CAVE_TILES,"Place 5B, 1 Exit, and 1 door."
Q_PB_LIBRARY_TILES,"Place 14B and 1 end cap."
Q_PB_TORTURE_TILES,"Place 9B, 11B, 1 Exit, and 1 door."
Q_PB_LONG_HALL_TILES,"Place 23B, 25B, 26B, 1 end cap, and 1 door."
Q_PB_WATER_TILES,"Place 21B and 1 end cap."
Q_PB_INTRO_PASSAGE,"[i]You reach the end of the secret passage. A patrol shuffles by, and as their footsteps fade, you squeeze from the passage and ease the hatch shut behind you.[/i]\n\n"
Q_PB_INTRO_PASSAGE_HEROES,"Place the heroes adjacent to the passage."
Q_PB_INTRO_PASSAGE_STAIR,"[i]Sending prisoners through the back entrance of the prison entails a bit more risk, but with a solid distraction, you may be able to flee past the exterior guards before they realize what's happening.[/i]\n\n"
Q_PB_INTRO_PASSAGE_WATER,"[i]The bars that inhibit an escape via the water are thick but rusted and ancient. It will not take much to pry open an exit…[/i]\n\n"
Q_PB_INTRO_PASSAGE_PLACEMENT,"{0}Place 1 objective token facedown as shown. This is a secret passage.\n\n{1}"
Q_PB_INTRO_PATROL,"[i]The patrol reaches the end of the hall, turns, and heads back in your direction.[/i]\n\nPlace the {0} group."
Q_PB_PASSAGE,"If a hero escorting 1 or more prisoners is adjacent to this secret passage during his turn, that hero may free the prisoners, 1 at a time."
Q_PB_HATCH_AND_ESCAPE,"{0}\n\nIf a hero is adjacent to the secret passage during his turn, that hero may lead the escape and end the quest."
Q_PB_CALL_OFF,"Are you sure you want to end this quest?"
Q_PB_UI_SAVE,"Free a prisoner!"
Q_PB_ESCAPE,"[i]The prisoner ducks into the small passage and cowers in the darkness until you can lead the escape out of the dungeon.[/i]\n\nDiscard 1 villager token from your Hero sheet."
Q_PB_UI_ESCAPE,"Lead Escape"
Q_PB_END_QUEST,"[i]You break from the tunnel at a full sprint. Behind you, the night is filled with the sound of alarm bells clanging and vicious hounds being released. With {0} prisoners in tow, you hurry to the nearby river and board the ferry that will transport you all to safety.[/i]"
Q_PB_PRISONER,"[i]The sickly prisoner sits huddled against the wall, hiding within the shadows.[/i]\n\nAs an action, a hero adjacent to a prisoner can escort them. At the end of each round, each hero escorting 1 or more prisoners will struggle to help them."
Q_PB_PRISONER_ESCORT,"[i]You lift the prisoner up and help them toward the secret passage.[/i]\n\nPlace the villager token on your Hero sheet. You are escorting that prisoner."
Q_PB_PRISONER_RULES,"As an action, a hero adjacent to a prisoner can escort that prisoner."
Q_PB_PRISONER_PLACE_1,"Place 1 villager token as shown. This is a prisoner.\n\n{0}"
Q_PB_PRISONER_PLACE_2,"Place 2 villager tokens as shown. These are prisoners.\n\n{0}"
Q_BP_UI_ESCORT,"Escort Prisoner"
Q_BP_ENDRND_TEST,"[i]The torches flicker and become faint. The prisoners of this dungeon cringe before the resulting darkness.[/i]\n\nEach hero who is escorting 1 or more prisoners tests ∂ or π; each hero adds ≤ to his results for each prisoner he is escorting. Each hero who fails is Stunned."
Q_BP_ENDRND_SUFFER,"[i]The shadows take form all around you: hollow faces, long claws, elongated tongues. The prisoners shriek, clinging to you for safety.[/i]\n\nEach hero suffers 1 ∏ for each prisoner he is escorting."
Q_BP_ENDRND_RETREAT,"[i]A raspy laugh echoes down the halls. You steel your nerves—the prisoners you escort do not…[/i]\n\nEach hero moves 1 space away from the closest secret passage for each prisoner he is escorting."
Q_PB_SEARCH_1,"[i]The guards have placed a small container just out of reach of one of the prisoners."
Q_PB_SEARCH_2,"[i]A pile of flotsam gathers in this corner."
Q_PB_SEARCH_3,"[i]A dead prisoner grasps a worn bag in her hands."
Q_PB_SEARCH_4,"[i]Not even the guards dared to reach back here for this item…"
Q_PB_SEARCH_5,"[i]Much of the prisoners' possessions have been thrown into this room."
Q_PB_SEARCH_6,"[i]The office of the warden surely contains a personal stash…"

//Quest: Wake of Fire
Q_WOF_PREFACE, "[i]It is not difficult to follow the lone set of tracks from the smoldering village—pockets of scorched earth dot the land so close together that you can easily see from one to the next. But now, for the first time, you spot signs of an active strike. A plume of thick smoke bends into the sky, its origin not a mile to the east. Donning what armor you have, you rush forward into the thick forest that stands between you and your quarry."
Q_WOF_SETUP_FLAVOR, "[i]The smell of ash becomes unmistakable as you push from a thicket into the hazy clearing. To your left, a large temple was carved into the cliff side, though the beauty of its craftsmanship has been lost in an age long past. Its windows and doors expel endless streams of billowing smoke, and beyond, a few flickers indicate the light of a growing fire. The bodies of its defenders lie all around you, charred and lifeless. Across the clearing, however, more figures loom: tense, still, waiting for your advance."
Q_WOF_ALL_TILES, "Set aside tiles 2, 5, 8, 9, 12, 14, 16, 23, 24, and 26."
Q_WOF_ALL_TILES_CORE,"14"
Q_WOF_ALL_TILES_MANOR,"73"
Q_WOF_YARD_TILES, "Place 2A, 5A, 1 Entrance, 1 transition, 1 end cap, and 1 door. Place the heroes on the Entrance."
Q_WOF_HALLWAY_TILES, "[i]Cinder and ash impede your vision, but somewhere within these twisting halls, you hear the shrill whispers of creatures waiting in ambush.[/i]\n\nPlace 8B, 14B, 16B, 23B, 1 extender, 1 end cap, 1 door, and 1 locked door."
Q_WOF_HALLWAY_LOCKED_DOOR,"[i]A large, bronze door stands firmly closed to your right. Levers, cogs, and plates of brass cover its face. Across the floor in front of you, streams of red stain the worn marble, as if projected from the door."
Q_WOF_SEARCH_1,"[i]Something is wedged behind this small waterfall."
Q_WOF_SEARCH_2,"[i]A number of the skeletons in this area have been moved to the side."
Q_WOF_SEARCH_3,"[i]A large pile of unused candles."
Q_WOF_SEARCH_5,"[i]A recently constructed cairn."
Q_WOF_SEARCH_6,"[i]An unlit sconce looks as if it could be rotated."
Q_WOF_SEARCH_7,"[i]A single barrel sits in the corner, the only item in this room untouched by the destruction."
Q_WOF_SEARCH_8,"[i]A pile of ashes."
Q_WOF_SEARCH_TRAP,"[i]You locate a small stash of coins. As you sweep them into your hands, you realize they are searing hot![/i]\n\nSuffer 1 ≥ and test π."
Q_WOF_SEARCH_TRAP_FAIL,"[i]You cast the coins from your hands with a shout. They skip across the ground and disappear into a crack.[/i]\n\nDiscard this token and draw a Search card."
Q_WOF_SEARCH_TRAP_2,"[i]A fiery ward has been waiting for your approach…[/i]\n\nThe searching hero tests ∑ or μ."
Q_WOF_SEARCH_TRAP_2_FAIL,"[i]Inexplicable force jerks you toward the ward. As you stumble forward, the force reverses, and white flame spews over your body.[/i]\n\nEach figure within 5 spaces of this search token moves 2 spaces toward this search token. Then each figure within 2 spaces of this search token suffers 3 ≥."
Q_WOF_OBJECTIVE_1,"Explore the lair."
Q_WOF_OBJECTIVE_3,"Take cover inside the lair."
Q_WOF_OBJECTIVE_2,"Defeat Merick and his Wrath Incarnate."
Q_WOF_PLACEMENT_STREAM,"Place the {0} group on 2A."
Q_WOF_PLACEMENT_SLOW,"Place the {0} group on 5A."
Q_WOF_PLACEMENT_RIDGE,"[i]You crack the door open and witness a group of {1} huddled together on the ridge, whispering to each other in harsh tones. You wait for the most vigilant of them to glance away from the door, then you burst through.[/i]\n\nPlace the {0} group on 24A."
Q_WOF_PLACEMENT_RANGED,"Place the {0} group on 14B."
Q_WOF_PLACEMENT_BRAWL,"Place the {0} group on 8B."
Q_WOF_OVERLOOK_DOOR, "You can't reach that door."
Q_WOF_OVERLOOK_TRIGGER, "[i]The door behind you swings open silently.[/i]\n\nPlace the {0} group on 24A."
Q_WOF_CHAMBER_TILES, "Place 26B and 1 end cap."
Q_WOF_RUINS_TILES, "Place 9B, 12B, 1 end cap, and 1 Exit."
Q_WOF_OVERLOOK_TILES, "[i]You notice motion above you, and glancing up, you see an overlook occupied by your foes.[/i]\n\nPlace 24A, 1 end cap, 1 transition, and 1 door."
Q_WOF_OVERLOOK_FIGURE, "[i]Robed figures take up position on a high ridge. Silhouetted by the noon sun, the only detail you can make out is the dark energy they bear in their hands…[/i]\n\nPlace 1 villager token as shown."
Q_WOF_OVERLOOK_TILES_2, "[i]Robed figures take up position on the high ridge. Silhouetted by the noon sun, the only detail you can make out is the dark energy they bear in their hands…[/i]\n\nPlace 24A, 1 end cap, 1 transition, and 1 door."
Q_WOF_DOOREARLY, "[i]…but you have reached the complex before they can spring their ambush. They linger momentarily, then disappear back over the ridge."
Q_WOF_OVERLOOK_ATTACK, "[i]Fist-sized pockets of darkness wind through the air, scattering across the open field.[/i]\n\nEach hero suffers 1 ≥ and tests μ or ∑. Each hero who fails suffers 1 additional ≥."
Q_WOF_OVERLOOK_FLEE, "[i]As you retreat into cover, the figures on the overlook disappear back from the ledge.[/i]\n\nRemove the villager token from the map."
Q_WOF_OVERLOOK_CLICK,"[i]The dark figure shifts nervously as you turn your attention upon him, but he holds his position and conjures the next attack."
Q_WOF_CHAMBER_DOOR, "[i]This door appears to be held in place by a strange locking mechanism and is rigged with a series of defenses. Fortunately for you, there is enough room that two of you can take on the door at once.[/i]\n\nAn adjacent hero can attempt to unlock this door with an ""Open Door"" action."
Q_WOF_CHAMBER_TEST1, "[i]You release the locking mechanism. Immediately the center of the  door begins to slide apart, exposing a multitude of flaming bolts, each ready to fire.[/i]\n\n1 hero adjacent to the door tests ∂."
Q_WOF_CHAMBER_TEST2, "[i]You hold the opening shut and hear the springs unwind for the firing mechanism. Then you notice several smaller windows begin to slide silently open all over the door![/i]\n\n1 hero adjacent to the door tests μ."
Q_WOF_CHAMBER_TEST3, "[i]The small windows continue to pop open, but you slide each shut before they can fire. Slowly, you begin to grow weary and catch each just before it fires. Your muscles grow tired and your nerves grow tense.[/i]\n\n1 hero adjacent to the door tests π."
Q_WOF_CHAMBER_PASS, "[i]Staring down the last fiery bolt, you slide the chamber shut, and the door pops open!"
Q_WOF_CHAMBER_FAILURE, "[i]The fiery bolts begin to fly from the door, striking all in their path.[/i]\n\nEach figure on tiles 16B, 23B, and 8B tests μ. Each figure that fails suffers 2 ≥.\n\nThe traps reset…"
Q_WOF_SEARCHRELIC, "[i]The first shafts of light reveal what appears to be a barren room, the only remarkable feature being a skeleton slumped in the center of the floor. As the door swings wide, however, you notice thousands of etchings on the wall: tallies, equations, unknown symbology. Upon closer inspection of the mysterious occupant, you find a shard of iron in one hand, and in its other, a set of dice carved from bone.\n\nYou rotate the cubes between your fingers, examining their faces, but quickly realize that they possess a strange magic—no face is ever the same. Unable to examine them further, you store the dice in a pocket and turn back to your quest.[/i]\n\nYou have found Fortuna's Dice!\n\nPlace the ""Fortuna's Dice"" relic in the play area of the active hero. He may immediately equip it."
